s_name,scheme_code,aumdate,aumtotal,fincode,invdate,noshares,percent_aum
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,123398,2023-11-30T00:00:00.000Z,1165449,0.96
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100087,2023-11-30T00:00:00.000Z,1055016,0.90
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132555,2023-11-30T00:00:00.000Z,4871553,0.89
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,302988,2023-11-30T00:00:00.000Z,6559758,0.81
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132504,2023-11-30T00:00:00.000Z,305745,0.79
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100040,2023-11-30T00:00:00.000Z,894945,0.79
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,252306,2023-11-30T00:00:00.000Z,9150030,0.76
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100096,2023-11-30T00:00:00.000Z,1931545,0.73
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,117334,2023-11-30T00:00:00.000Z,10407318,0.67
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,215367,2023-11-30T00:00:00.000Z,1704515,0.67
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100825,2023-11-30T00:00:00.000Z,194863,0.66
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,217400,2023-11-30T00:00:00.000Z,1569000,0.64
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,208045,2023-11-30T00:00:00.000Z,4826248,0.59
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100530,2023-11-30T00:00:00.000Z,37790,0.57
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,111243,2023-11-30T00:00:00.000Z,676998,0.53
