s_name,aumdate,aumtotal,fincode,invdate,noshares,percent_aum
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132714,2023-12-31T00:00:00.000Z,1407736,1.44
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100875,2023-12-31T00:00:00.000Z,1775000,1.43
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,223595,2023-12-31T00:00:00.000Z,200000,1.42
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100530,2023-12-31T00:00:00.000Z,35000,1.35
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132500,2023-12-31T00:00:00.000Z,75000,1.34
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100260,2023-12-31T00:00:00.000Z,750000,1.33
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132755,2023-12-31T00:00:00.000Z,600000,1.33
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132539,2023-12-31T00:00:00.000Z,1100000,1.32
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100294,2023-12-31T00:00:00.000Z,4510305,1.31
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100182,2023-12-31T00:00:00.000Z,180000,1.30
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100440,2023-12-31T00:00:00.000Z,1200000,1.28
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100257,2023-12-31T00:00:00.000Z,550000,1.27
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100124,2023-12-31T00:00:00.000Z,125000,1.26
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100800,2023-12-31T00:00:00.000Z,650000,1.23
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100850,2023-12-31T00:00:00.000Z,1600000,1.22
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100245,2023-12-31T00:00:00.000Z,1225000,1.18
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100840,2023-12-31T00:00:00.000Z,2700000,1.17
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,209165,2023-12-31T00:00:00.000Z,1350000,1.16
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,109488,2023-12-31T00:00:00.000Z,1200000,1.15
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,217389,2023-12-31T00:00:00.000Z,1000000,1.12
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100300,2023-12-31T00:00:00.000Z,300000,1.11
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100034,2023-12-31T00:00:00.000Z,85000,1.08
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132478,2023-12-31T00:00:00.000Z,335000,1.04
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,226625,2023-12-31T00:00:00.000Z,660000,1.00
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,284184,2023-12-31T00:00:00.000Z,683997,0.91
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,106401,2023-12-31T00:00:00.000Z,200000,0.86
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132720,2023-12-31T00:00:00.000Z,1700000,0.82
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,131761,2023-12-31T00:00:00.000Z,670000,0.80
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,271867,2023-12-31T00:00:00.000Z,1000000,0.75
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,112573,2023-12-31T00:00:00.000Z,900000,0.66
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132868,2023-12-31T00:00:00.000Z,500000,0.63
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132777,2023-12-31T00:00:00.000Z,70000,0.63
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,216147,2023-12-31T00:00:00.000Z,900000,0.60
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,221554,2023-12-31T00:00:00.000Z,2250000,0.57
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,211385,2023-12-31T00:00:00.000Z,200000,0.50
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100550,2023-12-31T00:00:00.000Z,70000,0.49
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132898,2023-12-31T00:00:00.000Z,1000000,0.41
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,200075,2023-12-31T00:00:00.000Z,650000,0.40
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100096,2023-12-31T00:00:00.000Z,400000,0.39
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132667,2023-12-31T00:00:00.000Z,5000000,0.33
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100770,2023-11-30T00:00:00.000Z,100000,0.18
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,100493,2023-10-31T00:00:00.000Z,285991,0.58
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,104067,2023-10-31T00:00:00.000Z,200000,0.19
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,222055,2023-09-30T00:00:00.000Z,215000,0.99
Bandhan ELSS Tax Saver Fund-Reg(G),2023-12-31T00:00:00.000Z,5748.89,132538,2023-09-30T00:00:00.000Z,17339,0.28
